2025-09-25 12:29:21 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:21
2025-09-25 12:29:21 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:21
2025-09-25 12:29:21 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:21
2025-09-25 12:29:21 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:21
2025-09-25 12:29:21 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:21
2025-09-25 12:29:22 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:22
2025-09-25 12:29:22 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:22
2025-09-25 12:29:22 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:22
2025-09-25 12:29:22 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:22
2025-09-25 12:29:23 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:23
2025-09-25 12:29:23 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:23
2025-09-25 12:29:23 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:23
2025-09-25 12:29:23 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:23
2025-09-25 12:29:23 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:23
2025-09-25 12:29:24 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:24
2025-09-25 12:29:24 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:24
2025-09-25 12:29:24 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:24
2025-09-25 12:29:24 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:24
2025-09-25 12:29:24 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:24
2025-09-25 12:29:25 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:25
2025-09-25 12:29:25 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:25
2025-09-25 12:29:25 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:25
2025-09-25 12:29:25 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:25
2025-09-25 12:29:25 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:25
2025-09-25 12:29:26 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:26
2025-09-25 12:29:26 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:26
2025-09-25 12:29:26 | Cycle=163 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:26
